Quota,Category,State,Institute,Course,Fee,CR 2025 1,CR 2025 2,CR 2025 3
AI,ST,West Bengal,Jalpaiguri Govt Med Coll,MBBS,9000,133067(1),133067(1),133067(1)
AI,ST,Maharashtra,"Govt Med Coll, Chandrapur",MBBS,158600,102566(2),120012(2),133088(2)
AI,SC,Telangana,"Govt Med Coll, Rajanna Sircilla",MBBS,14000,98635(3),123668(3),133235(3)
AI,SC,Telangana,"GovtMedColl,BhadradriKothagudem",MBBS,14000,106101(3),128536(3),133388(3)
AI,SC,Kerala,"Government Med Coll, Idukki",MBBS,23150,71598(1),123133(1),133417(1)
AI,SC,Assam,"Tezpur Med Coll, Tezpur",MBBS,6400,105486(3),128467(3),133438(3)
AI,SC,Telangana,"Government Med Coll, Nirmal",MBBS,14000,95860(2),128337(2),133530(2)
AI,ST,Karnataka,"Hassan IMS, Hassan",MBBS,64350,81970(1),122194(2),133599(2)
AI,ST,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",MBBS,100000,61679(1),123915(1),133619(1)
AI,SC,Telangana,"Government Med Coll, Mancherial",MBBS,14000,107118(2),130207(2),133725(3)
AI,SC,Kerala,"Government Medical Coll, Konni",MBBS,23150,74223(2),124920(2),133845(2)
AI,ST,West Bengal,"NBMC, Darjeeling",MBBS,9000,101241(3),128548(3),133959(3)
AI,ST,Maharashtra,Government Med Coll Ratnagiri,MBBS,158600,120996(1),120996(1),134076(1)
AI,SC,Tamil Nadu,"Govt Med Coll, Krishnagiri",MBBS,18073,64780(3),124199(3),134095(3)
AI,SC,Telangana,"Govt Med Coll, Mulugu",MBBS,14000,94550(1),130574(1),134132(1)
AI,SC,Telangana,"Government Med Coll, Vikarabad",MBBS,14000,108627(1),130539(1),134192(1)
AI,ST,Maharashtra,"Govt Med Coll, Satara",MBBS,158600,121048(2),125638(2),134232(2)
AI,ST,Pondicherry,"IGMC & RI, Pondicherry",MBBS,73700,99309(2),122369(2),134248(2)
AI,SC,Tamil Nadu,"Govt Med Coll, Namakkal",MBBS,18073,65150(3),127993(3),134263(3)
AI,ST,Gujarat,"GMERS Medical College, Rajpipla",MBBS,375000,134204(1),122312(1),134270(1)
AI,SC,Assam,Tinsukia Med Coll & Hosp,MBBS,6400,107427(2),131902(2),134273(2)
AI,SC,Tamil Nadu,"Govt Med Coll, Ariyalur",MBBS,18073,67307(4),130880(4),134336(4)
AI,SC,Meghalaya,"NEIGRIHMS, Shillong",MBBS,16600,-,115147(1),134362(1)
AI,SC,Tamil Nadu,Govt Thoothukudi Med Coll,MBBS,18073,58560(4),115353(4),134536(4)
AI,ST,Maharashtra,"Government Med Coll, Osmanabad",MBBS,158600,122369(1),122656(1),134564(1)
AI,SC,Tamil Nadu,Govt Thiruvarur Med Coll,MBBS,18073,62093(2),126550(2),134626(2)
AI,ST,Maharashtra,"Govt Med Coll, Alibag",MBBS,158600,-,-,134649(1)
AI,ST,Jammu and Kashmir,"Government Med Coll, Baramulla",MBBS,37636,92877(1),100038(1),134753(1)
AI,SC,Assam,"Jorhat Med Coll, Jorhat",MBBS,6400,102267(3),120622(3),134754(3)
AI,ST,Arunachal Pradesh,"Tomo Riba IHMS, Naharlagun",MBBS,33000,109278(1),134837(1),134837(1)
AI,SC,Nagaland,NIMSR Kohima,MBBS,60000,110219(2),132082(2),134865(2)
AI,SC,Mizoram,"Zoram Med Coll, Mizoram",MBBS,49150,103767(2),132649(2),134896(3)
AI,SC,Assam,"Fakhruddin Ali Ahmed, Barpeta",MBBS,6400,104412(3),128262(3),134903(3)
AI,SC,Tamil Nadu,Govt Sivagangai Med Coll,MBBS,18073,63530(2),120890(2),134961(2)
AI,SC,Assam,"Dhubri Medical College, Dhubri",MBBS,6400,104163(2),130367(2),135014(3)
AI,SC,Tamil Nadu,"Govt Med Coll, Tiruppur",MBBS,18073,52243(2),111427(2),135085(2)
AI,SC,Tamil Nadu,"Govt Med Coll, Nilgiris",MBBS,18073,70369(3),131708(3),135266(3)
AI,ST,Jharkhand,"Palamu Medical College, Palamu",MBBS,9200,122410(1),130349(1),135357(1)
AI,SC,Assam,"Diphu Med Coll, Assam",MBBS,6400,100279(2),125961(2),135563(2)
JP,SC,Pondicherry,"JIPMER, Puducherry",MBBS,1200,125675(7),125675(7),135577(9)
AI,SC,Tamil Nadu,"Govt Med Coll, Dindigul",MBBS,18073,56237(3),117266(3),135642(3)
AI,SC,Tamil Nadu,"Govt Med Coll, Kallakurichi",MBBS,18073,66279(3),131405(3),135812(4)
AI,SC,Tamil Nadu,"Govt Med Coll, Nagapattinam",MBBS,18073,70965(3),132024(3),135882(3)
AI,SC,Assam,"Lakhimpur Med Coll, Lakhimpur",MBBS,6400,109291(3),129303(3),135909(3)
AI,ST,Gujarat,"Govt Med Coll (GMERS), Panchmahal",MBBS,375000,130349(1),122224(1),135975(1)
AI,SC,Tamil Nadu,"Govt Med Coll, Karur",MBBS,18073,63512(4),125728(4),136003(4)
AI,SC,Tamil Nadu,"Govt Med Coll, Ramanathapuram",MBBS,18073,70909(3),132267(3),136143(3)
AI,ST,Bihar,"Government Med Coll, Purnea",MBBS,9500,116925(1),132026(1),136153(1)
