State,Institute,Course,Quota,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
Tamil Nadu,"Govt Med Coll, Omandurar",MBBS,AI,18073,750,0,0,27315
Tamil Nadu,"Govt Med Coll, Pudukottai",MBBS,AI,18073,Info Not Available,0,0,27315
Tamil Nadu,"Govt Med Coll, Ramanathapuram",MBBS,AI,18073,Info Not Available,0,0,27315
Tamil Nadu,"Govt Med Coll, Thiruvallur",MBBS,AI,18073,Info Not Available,0,0,27315
Tamil Nadu,"Govt Med Coll, Tiruppur",MBBS,AI,18073,1170,0,0,27315
Tamil Nadu,"Govt Med Coll, Virudhunagar",MBBS,AI,18073,Info Not Available,0,0,27315
Tamil Nadu,Govt Sivagangai Med Coll,MBBS,AI,18073,Info Not Available,0,0,27315
Tamil Nadu,Govt Thiruvannamalai Med Coll,MBBS,AI,18073,500,0,0,27315
Tamil Nadu,Govt Vellore Med Coll,MBBS,AI,18073,2858,0,0,27315
Tamil Nadu,Govt Villupuram Med Coll,MBBS,AI,18073,670,0,0,27315
Tamil Nadu,"KAPV Med Coll, Trichy",MBBS,AI,18073,2500,0,0,27315
Tamil Nadu,Kanyakumari Med Coll,MBBS,AI,18073,840,0,0,27315
Tamil Nadu,"Kilpauk Med Coll, Chennai",MBBS,AI,18073,1700,0,0,27315
Tamil Nadu,"Madras Med Coll, Chennai",MBBS,AI,18073,7285,0,0,27315
Tamil Nadu,"Madurai Med Coll, Madurai",MBBS,AI,18073,3518,0,0,27315
Tamil Nadu,"Mohan Kumaramangalam, Salem",MBBS,AI,18073,1642,0,0,27315
Tamil Nadu,"Rajah Muthiah MC, Annamalai",MBBS,AI,18073,1400,0,0,27315
Tamil Nadu,"Stanley Med Coll, Chennai",MBBS,AI,18073,1661,0,0,27315
Tamil Nadu,Thanjavur Med Coll,MBBS,AI,18073,1466,0,0,27315
Tamil Nadu,Govt Theni Med Coll,MBBS,AI,18073,940,0,0,27315
Tamil Nadu,Govt Thiruvarur Med Coll,MBBS,AI,18073,555,0,0,27315
Tamil Nadu,Govt Thoothukudi Med Coll,MBBS,AI,18073,1212,0,0,27315
Tamil Nadu,Tirunelveli Med Coll,MBBS,AI,18073,1737,0,0,27315
Tamil Nadu,"Govt Med Coll & ESI,Coimbatore",MBBS,AI,18073,300,0,0,27315
Telangana,"Gandhi Med Coll, Secunderabad",MBBS,AI,14000,1200,0,0,25960
Telangana,Govt Med Coll Jangaon,MBBS,AI,14000,Info Not Available,0,0,25960
Telangana,Govt Med Coll Narsampet,MBBS,AI,14000,Info Not Available,0,0,25960
Telangana,"GovtMedColl,BhadradriKothagudem",MBBS,AI,14000,350,0,0,25960
Telangana,"Government Med Coll, Jagtial",MBBS,AI,14000,Info Not Available,0,0,25960
Telangana,"Government Med Coll, Bhupalpally",MBBS,AI,14000,Info Not Available,0,0,25960
Telangana,"Govt Med Coll, Jogulamba",MBBS,AI,14000,Info Not Available,0,0,25960
Telangana,"Government Med Coll, Kamareddy",MBBS,AI,14000,Info Not Available,0,0,25960
Telangana,"Government Med Coll, Karimnagar",MBBS,AI,14000,500,0,0,25960
Telangana,"Government Med Coll, Khammam",MBBS,AI,14000,750,0,0,25960
Telangana,"Govt Med Coll, Kumuram Bheem",MBBS,AI,14000,330,0,0,25960
Telangana,"Government Med Coll,Mahabubabad",MBBS,AI,14000,Info Not Available,0,0,25960
Telangana,"Govt Med Coll, Mahabubnagar",MBBS,AI,14000,900,0,0,25960
