State,Institute,Course,Quota,Category,Fee,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,AIQ,EWS,"₹ 34,500",737,737,737,-
West Bengal,"Nilratan Sircar, Kolkata",RADIO DIAGNOSIS,AIQ,GEN,"₹ 12,000",654,707,738,-
Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,AIQ,EWS,"₹ 15,000",741,741,741,-
Telangana,"Gandhi Med Coll, Secunderabad",RADIO DIAGNOSIS,AIQ,GEN,"₹ 15,000",555,555,742,-
Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹ 47,220",361,744,744,-
Maharashtra,"Kokilaben Dhirubhai Ambani,MUM",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"₹ 1,25,000",510,754,754,-
Andhra Pradesh,"SVIMS, Tirupati",RADIO DIAGNOSIS,AIQ,EWS,"₹ 1,75,000",861,755,755,-
Goa,"Goa Med Coll, Panaji",ENT,AIQ,GEN,"₹ 1,22,522",4969,12666,756,-
Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,AIQ,GEN,"₹ 15,000",519,667,758,-
Rajasthan,"SP Med Coll, Bikaner",DERMATOLOGY,AIQ,GEN,"₹ 14,093",759,759,759,-
Madhya Pradesh,"Gajra Raja Med Coll, Gwalior",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,01,500",752,752,765,-
Delhi,"Lady Hardinge, Delhi",PAEDIATRICS,AIQ,EWS,"₹ 16,200",767,767,767,-
Andhra Pradesh,"Andhra Med Coll, Vizag",RADIO DIAGNOSIS,AIQ,GEN,"₹ 30,000",531,531,769,-
Punjab,"Govt Med Coll, Patiala",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,25,000",698,772,772,-
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,AIQ,OBC,"₹ 1,57,100",231,681,773,-
Rajasthan,"Govt Med Coll, Kota",RADIO DIAGNOSIS,AIQ,GEN,"₹ 14,093",317,915,777,-
Rajasthan,"RNT, Udaipur",RADIO DIAGNOSIS,AIQ,EWS,"₹ 14,093",778,778,778,-
Rajasthan,"SMS, Jaipur",DERMATOLOGY,AIQ,OBC,"₹ 14,093",780,780,780,-
Bihar,"IGIMS, Patna",GENERAL MEDICINE,AIQ,GEN,"₹ 1,60,000",362,788,788,-
Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹ 50,000",291,603,799,-
Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,AIQ,EWS,"₹ 54,700",802,802,802,-
Delhi,"MAMC, Delhi",GENERAL SURGERY,AIQ,EWS,"₹ 16,200",509,803,803,-
Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,AIQ,OBC,"₹ 34,500",804,804,804,-
Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"₹ 15,000",541,541,806,-
