S. No.,State,Management of college,College Name,Course Name,Seats
7291,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MS - Obstetrics & Gynaecology,6
7292,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MS - Opthalmology,4
7293,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - General Medicine,8
7294,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki","MD - Dermatology , Venereology & Leprosy",4
7295,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Microbiology,3
7296,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Bio-Chemistry,2
7297,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Paediatrics,7
7298,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MS - General Surgery,9
7299,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MS - Orthopaedics,8
7300,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Radio Diagnosis/Radiology,3
7301,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Pharmacology,3
7302,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Anatomy,2
7303,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",2
7304,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MS - ENT,3
7305,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad","MD - Social & Preventive Medicine / Community
Medicine",6
7306,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad","MD - Dermatology , Venereology & Leprosy",3
7307,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Immuno Haematology & Blood Transfusion,3
7308,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Radiation Oncology,2
7309,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - General Medicine,25
7310,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MS - Obstetrics & Gynaecology,12
7311,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Psychiatry,2
7312,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Pathology,8
7313,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MS - ENT,5
7314,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Radio Diagnosis/Radiology,4
7315,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MS - Opthalmology,15
7316,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",5
7317,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad","MD - Forensic Medicine/Forensic Medicine &
Toxicology",5
7318,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Pharmacology,2
7319,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Anaesthesiology,11
7320,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Paediatrics,11
7321,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MS - General Surgery,25
7322,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Microbiology,2
7323,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Anatomy,6
7324,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MD - Physiology,5
7325,Uttar Pradesh,Govt,"Moti Lal Nehru Medical College, Allahabad",MS - Orthopaedics,11
7326,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Pathology,10
7327,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",2
7328,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MS - Obstetrics & Gynaecology,10
7329,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MS - ENT,4
7330,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Paediatrics,4
7331,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MS - General Surgery,8
7332,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Anatomy,2
7333,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Pharmacology,3
7334,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Bio-Chemistry,1
7335,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Anaesthesiology,6
7336,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar","MD - Social & Preventive Medicine / Community
Medicine",2
7337,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - General Medicine,8
7338,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Physiology,2
7339,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Microbiology,4
7340,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Psychiatry,3
7341,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar","MD - Dermatology , Venereology & Leprosy",5
7342,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Radio Diagnosis/Radiology,6
7343,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MD - Emergency Medicine,3
7344,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MS - Opthalmology,4
7345,Uttar Pradesh,Trust,"Muzaffarnagar Medical College, Muzaffarnagar",MS - Orthopaedics,10
7346,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MD - Dermatology Venerology and Leprosy,3
7347,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MS - General Surgery,10
7348,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MS - Orthopaedics,8
7349,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MS - Obstetrics & Gynaecology,5
7350,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MD - Anaesthesiology,12
7351,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MD - Psychiatry,3
7352,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MD - Radio - Diagnosis,5
7353,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MD - General Medicine,10
7354,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MD - Community Medicine,4
7355,Uttar Pradesh,Society,"National Capital Region Institute of Medical Sciences, Meerut",MD - Pathology,3
7356,Uttar Pradesh,Trust,Noida International Institute Of Medical Sciences,MD-Anaesthesiology,15
7357,Uttar Pradesh,Trust,Noida International Institute Of Medical Sciences,MD Paediatrics,9
